frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65498,114,4,12,1,10
0,65489,143,5,12,1,10
0,65480,171,6,8,1,10
0,65498,114,4,11,65535,10
0,65489,143,5,11,65535,10
0,65480,171,6,7,65535,10
0,65461,94,4,10,1,10
0,65442,117,5,10,1,10
0,65423,141,6,6,1,10
0,65461,94,4,9,65535,10
0,65442,117,5,9,65535,10
0,65423,141,6,5,65535,10
1,65502,115,4,24,1,10
1,65489,143,5,24,1,10
1,65480,171,6,14,1,10
1,65502,115,4,30,65535,10
1,65489,143,5,30,65535,10
1,65480,171,6,19,65535,10
1,0,210,7,10,65535,10
1,65461,94,4,18,1,10
1,65442,117,5,18,1,10
1,65423,141,6,12,1,10
1,65461,94,4,23,65535,10
1,65442,117,5,23,65535,10
1,65423,141,6,16,65535,10
1,65405,164,7,8,65535,10
2,65516,88,3,24,1,10
2,65506,116,4,33,1,10
2,127,81,5,33,1,10
2,152,97,6,32,1,10
2,177,113,7,19,1,10
2,65461,130,5,26,65534,10
2,65472,102,4,75,65535,10
2,65456,127,5,62,65535,10
2,65446,156,6,33,65535,10
2,65498,145,5,26,1,10
2,65517,149,5,18,65534,10
2,65513,118,4,73,65535,10
2,65513,148,5,57,65535,10
2,65530,180,6,26,65535,10
3,17,88,3,17,0,10
3,23,118,4,29,0,10
3,28,147,5,28,0,10
3,34,177,6,17,0,10
3,17,88,3,39,1,10
3,23,118,4,66,1,10
3,28,147,5,66,1,10
3,34,177,6,40,1,10
3,39,206,7,14,1,10
3,14,89,3,34,2,10
3,19,119,4,58,2,10
3,23,148,5,60,2,10
3,28,178,6,37,2,10
3,19,119,4,15,3,10
3,23,148,5,15,3,10
3,28,178,6,10,3,10
3,23,118,4,6,65535,10
3,28,147,5,5,65535,10
3,62207,14851,507,3,65535,10
3,96,153,6,27,2,10
3,64,102,4,12,3,10
3,80,127,5,13,3,10
3,96,153,6,9,3,10
3,13317,7368,507,2,65535,10
4,164,131,7,12,2,10
4,141,112,6,24,3,10
4,164,131,7,31,3,10
4,188,150,8,25,3,10
4,141,112,6,17,4,10
4,164,131,7,23,4,10
4,188,150,8,18,4,10
5,177,204,9,10,2,10
5,206,218,10,13,2,10
5,186,196,9,30,3,10
5,206,218,10,43,3,10
5,227,240,11,36,3,10
5,259,250,12,19,3,10
5,186,196,9,27,4,10
5,206,218,10,39,4,10
5,227,240,11,34,4,10
5,259,250,12,18,4,10
6,232,314,13,13,2,10
6,250,338,14,12,2,10
6,214,290,12,14,3,10
6,232,314,13,23,3,10
6,250,338,14,21,3,10
6,267,362,15,10,3,10
6,220,323,13,12,4,10
6,236,347,14,10,4,10
