frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65510,117,4,14,1,10
0,65503,146,5,18,1,10
0,65491,174,6,14,1,10
0,65477,202,7,6,1,10
0,65510,117,4,18,65535,10
0,65503,146,5,24,65535,10
0,65497,176,6,19,65535,10
0,23,118,4,11,1,10
0,28,147,5,14,1,10
0,34,177,6,11,1,10
0,33,208,7,4,1,10
0,26,117,4,14,65535,10
0,28,147,5,19,65535,10
0,34,177,6,15,65535,10
1,65517,119,4,31,65535,10
1,65513,148,5,35,65535,10
1,65508,178,6,23,65535,10
1,34,177,6,17,65535,10
2,65480,106,4,43,0,10
2,65466,133,5,58,0,10
2,65452,159,6,44,0,10
2,65476,104,4,88,1,10
2,65461,130,5,118,1,10
2,65446,156,6,91,1,10
2,65476,104,4,13,65535,10
2,65461,130,5,17,65535,10
2,65446,156,6,14,65535,10
2,65431,182,7,7,65535,10
2,7120,13417,506,5,65535,10
2,7134,13444,507,7,65535,10
2,7148,13470,508,5,65535,10
2,65521,119,4,65,1,10
2,65521,119,4,10,65535,10
2,65517,149,5,13,65535,10
2,65513,179,6,10,65535,10
3,65475,137,5,29,0,10
3,65463,165,6,42,0,10
3,65451,192,7,36,0,10
3,65431,216,8,18,0,10
3,65487,110,4,28,1,10
3,65475,137,5,72,1,10
3,65457,162,6,104,1,10
3,65444,189,7,90,1,10
3,65431,216,8,45,1,10
3,65470,135,5,71,2,10
3,65457,162,6,102,2,10
3,65444,189,7,88,2,10
3,65431,216,8,43,2,10
3,6632,13631,505,5,65534,10
3,6645,13658,506,5,65534,10
3,65463,165,6,9,65535,10
3,65444,189,7,7,65535,10
3,6158,13852,505,4,65535,10
3,6171,13879,506,5,65535,10
3,6183,13907,507,4,65535,10
3,65419,94,5,23,0,10
3,65395,112,6,33,0,10
3,65372,131,7,29,0,10
3,65341,140,8,15,0,10
3,65442,75,4,20,1,10
3,65419,94,5,52,1,10
3,65390,105,6,75,1,10
3,65365,122,7,65,1,10
3,65333,129,8,33,1,10
3,65390,105,6,6,65535,10
3,65365,122,7,6,65535,10
3,11843,9463,505,4,65535,10
3,11867,9481,506,4,65535,10
3,11890,9500,507,3,65535,10
4,65446,156,6,7,0,10
4,65431,182,7,15,0,10
4,65416,208,8,17,0,10
4,65401,234,9,12,0,10
4,65440,153,6,23,1,10
4,65424,178,7,48,1,10
4,65408,203,8,57,1,10
4,65392,229,9,38,1,10
4,65440,153,6,28,2,10
4,65424,178,7,58,2,10
4,65408,203,8,68,2,10
4,65392,229,9,46,2,10
4,65408,203,8,25,3,10
5,65408,203,8,21,0,10
5,65392,229,9,36,0,10
5,65377,254,10,35,0,10
5,65361,280,11,20,0,10
5,65408,203,8,56,1,10
5,65392,229,9,92,1,10
5,65377,254,10,91,1,10
5,65361,280,11,52,1,10
5,65408,203,8,56,2,10
5,65392,229,9,92,2,10
5,65367,248,10,91,2,10
5,65350,273,11,52,2,10
5,65384,223,9,28,3,10
5,65367,248,10,27,3,10
5,8476,12459,502,4,65534,10
5,8021,12792,503,4,65534,10
5,65392,229,9,7,65535,10
5,65377,254,10,7,65535,10
5,7535,13050,502,4,65535,10
5,7550,13076,503,4,65535,10
6,65409,239,9,15,0,10
6,65395,265,10,33,0,10
6,65371,286,11,41,0,10
6,65356,312,12,32,0,10
6,65329,331,13,16,0,10
6,65401,234,9,31,1,10
6,65386,260,10,67,1,10
6,65371,286,11,84,1,10
6,65356,312,12,65,1,10
6,65329,331,13,32,1,10
6,65386,260,10,46,2,10
6,65371,286,11,59,2,10
6,65345,305,12,47,2,10
6,65329,331,13,24,2,10
6,7050,13285,501,4,65535,10
7,65414,274,10,15,0,10
7,65402,302,11,43,0,10
7,65390,329,12,63,0,10
7,65377,357,13,54,0,10
7,65352,378,14,26,0,10
7,65405,270,10,29,1,10
7,65392,297,11,81,1,10
7,65378,324,12,119,1,10
7,65365,351,13,102,1,10
7,65352,378,14,50,1,10
7,65392,297,11,47,2,10
7,65378,324,12,68,2,10
7,65365,351,13,58,2,10
7,65339,371,14,28,2,10
7,6085,13687,499,4,65535,10
7,6097,13715,500,5,65535,10
7,6110,13742,501,4,65535,10
8,65390,362,13,20,0,10
8,65378,390,14,16,0,10
8,65390,329,12,27,1,10
8,65377,357,13,40,1,10
8,65365,384,14,34,1,10
8,65377,357,13,18,2,10
8,65365,384,14,15,2,10
9,65438,378,13,16,0,10
9,65431,407,14,17,0,10
9,65426,374,13,40,1,10
9,65418,403,14,43,1,10
9,65409,432,15,26,1,10
9,65426,374,13,16,2,10
9,65418,403,14,17,2,10
9,65426,374,13,11,65535,10
9,65418,403,14,12,65535,10
