frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,0,600,20,13,65535,10
0,0,630,21,14,65535,10
1,0,570,19,15,0,10
1,0,600,20,22,0,10
1,0,630,21,19,0,10
1,18,570,19,13,65534,10
1,19,600,20,18,65534,10
1,20,630,21,16,65534,10
1,0,570,19,32,65535,10
1,0,600,20,46,65535,10
1,0,630,21,39,65535,10
2,0,540,18,15,0,10
2,0,570,19,22,0,10
2,0,600,20,18,0,10
2,17,540,18,26,65534,10
2,18,570,19,37,65534,10
2,19,600,20,31,65534,10
2,0,540,18,34,65535,10
2,0,570,19,47,65535,10
2,0,600,20,40,65535,10
3,0,871,29,19,0,10
3,65520,510,17,11,65533,10
4,39,418,14,12,65532,10
4,56,447,15,12,65532,10
4,24,389,13,13,65533,10
4,39,418,14,23,65533,10
4,42,448,15,23,65533,10
4,65444,410,14,9,65532,10
4,65438,439,15,10,65532,10
4,65451,381,13,10,65533,10
4,65444,410,14,19,65533,10
4,65452,442,15,21,65533,10
5,65484,326,11,43,65533,10
5,65480,356,12,53,65533,10
5,65475,385,13,39,65533,10
5,65498,298,10,28,65534,10
5,65495,328,11,51,65534,10
5,65491,357,12,55,65534,10
5,65487,387,13,36,65534,10
5,65489,296,10,16,65535,10
5,65484,326,11,22,65535,10
5,65480,356,12,17,65535,10
6,25,269,9,38,65533,10
6,38,298,10,35,65533,10
6,15,240,8,40,65534,10
6,17,270,9,61,65534,10
6,28,299,10,54,65534,10
6,65484,326,11,32,65534,10
6,65528,240,8,24,65535,10
6,65519,270,9,41,65535,10
6,65508,299,10,40,65535,10
6,65461,291,10,25,65533,10
6,52,326,11,30,65534,10
7,13,210,7,21,0,10
7,8,240,8,22,0,10
7,13,210,7,54,65534,10
7,8,240,8,59,65534,10
7,6,180,6,30,65535,10
7,7,210,7,57,65535,10
7,0,240,8,62,65535,10
7,0,270,9,41,65535,10
8,23,179,6,36,0,10
8,26,208,7,28,0,10
8,65412,306,11,20,65533,10
8,65390,329,12,21,65533,10
8,23,179,6,69,65535,10
8,65526,330,11,16,65533,10
8,65513,360,12,18,65533,10
9,65456,127,5,68,0,10
9,65440,153,6,71,0,10
9,65424,178,7,44,0,10
9,7595,13154,506,7,1,10
