frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,1418,1631,72,74,0,10
0,1438,1653,73,82,0,10
0,1458,1676,74,57,0,10
0,180,159,8,17,65533,10
0,203,179,9,19,65533,10
0,225,199,10,12,65533,10
0,180,159,8,18,65534,10
0,203,179,9,19,65534,10
0,1486,1570,72,91,65534,10
0,1507,1591,73,104,65534,10
0,1527,1613,74,73,65534,10
0,1418,1631,72,142,65535,10
0,1438,1653,73,158,65535,10
0,1458,1676,74,109,65535,10
1,105,182,7,9,0,10
1,75,130,5,22,65533,10
1,90,156,6,32,65533,10
1,105,182,7,28,65533,10
1,113,212,8,15,65533,10
1,75,130,5,40,65534,10
1,90,156,6,60,65534,10
1,105,182,7,53,65534,10
1,120,208,8,28,65534,10
1,90,156,6,41,65535,10
1,98,186,7,36,65535,10
1,19,149,5,31,65534,10
1,23,179,6,44,65534,10
2,None, None, None, None, None
3,65483,108,4,19,0,10
3,65470,135,5,28,0,10
3,65457,162,6,24,0,10
3,65359,113,7,12,0,10
3,65480,106,4,38,1,10
3,65466,133,5,56,1,10
3,65452,159,6,48,1,10
3,65438,186,7,24,1,10
3,65480,106,4,18,2,10
3,65466,133,5,27,2,10
3,65452,159,6,23,2,10
3,65438,70,4,17,0,10
3,65414,87,5,25,0,10
3,65390,105,6,22,0,10
3,65444,189,7,12,0,10
3,65435,64,4,31,1,10
3,65409,81,5,47,1,10
3,65384,97,6,42,1,10
3,65359,113,7,23,1,10
3,65435,64,4,14,2,10
3,65409,81,5,21,2,10
3,65384,97,6,19,2,10
4,65384,97,6,14,1,10
4,65359,113,7,15,1,10
4,65384,97,6,14,2,10
4,65359,113,7,14,2,10
