frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65350,196,9,7,0,10
0,65330,218,10,11,0,10
0,65309,240,11,8,0,10
0,65339,227,10,9,65534,10
0,65350,196,9,16,65535,10
0,65330,218,10,23,65535,10
0,65309,240,11,18,65535,10
1,65386,187,8,15,0,10
1,65367,211,9,22,0,10
1,65358,242,10,17,0,10
1,65350,273,11,7,0,10
1,65376,217,9,26,65534,10
1,65358,242,10,20,65534,10
1,65378,181,8,30,65535,10
1,65367,211,9,43,65535,10
1,65348,234,10,34,65535,10
1,65350,273,11,14,65535,10
1,65226,115,11,7,0,10
1,65226,115,11,13,65535,10
2,65431,182,7,22,0,10
2,65416,208,8,26,0,10
2,65401,234,9,18,0,10
2,65438,186,7,35,65534,10
2,65423,212,8,41,65534,10
2,65409,239,9,28,65534,10
2,65339,227,10,22,65534,10
2,65431,182,7,47,65535,10
2,65416,208,8,56,65535,10
2,65401,234,9,38,65535,10
2,65359,113,7,25,65534,10
2,65333,129,8,29,65534,10
3,65503,146,5,25,0,10
3,65497,176,6,50,0,10
3,65490,205,7,54,0,10
3,65483,234,8,35,0,10
3,65384,223,9,17,0,10
3,8510,12509,504,3,1,10
3,2842,14890,505,5,1,10
3,2848,14920,506,5,1,10
3,65502,177,6,49,65534,10
3,65418,174,7,58,65534,10
3,65408,203,8,49,65534,10
3,65392,229,9,30,65534,10
3,65503,146,5,49,65535,10
3,65497,176,6,95,65535,10
3,65490,205,7,104,65535,10
3,65483,234,8,67,65535,10
3,65376,217,9,37,65535,10
3,65447,121,5,20,0,10
3,65429,145,6,39,0,10
3,65411,169,7,45,0,10
3,65393,193,8,33,0,10
3,65477,264,9,12,0,10
3,2837,14861,504,3,1,10
3,8527,12534,505,5,1,10
3,8544,12558,506,4,1,10
3,65435,149,6,47,65534,10
3,65497,206,7,55,65534,10
3,65491,236,8,35,65534,10
3,65447,121,5,35,65535,10
3,65429,145,6,69,65535,10
3,65411,169,7,82,65535,10
3,65393,193,8,64,65535,10
4,65485,173,6,49,0,10
4,9,150,5,17,1,10
4,11,180,6,22,1,10
4,13,210,7,16,1,10
4,4272,14576,506,6,1,10
4,65485,173,6,104,65535,10
4,65477,202,7,82,65535,10
4,11,180,6,39,0,10
4,65489,143,5,15,1,10
4,65480,171,6,20,1,10
4,65470,200,7,15,1,10
4,64112,15122,506,5,1,10
4,11,180,6,92,65535,10
4,13,210,7,68,65535,10
5,None, None, None, None, None
6,124,131,6,25,0,10
6,144,153,7,27,0,10
6,165,174,8,18,0,10
6,103,109,5,25,1,10
6,124,131,6,46,1,10
6,144,153,7,51,1,10
6,165,174,8,34,1,10
6,98,113,5,14,2,10
6,118,136,6,26,2,10
6,138,159,7,29,2,10
6,158,181,8,19,2,10
6,56,171,6,17,0,10
7,141,112,6,12,0,10
7,164,131,7,20,0,10
7,188,150,8,19,0,10
7,211,169,9,12,0,10
7,135,119,6,23,1,10
7,164,131,7,37,1,10
7,188,150,8,37,1,10
8,184,102,7,13,0,10
8,218,102,8,21,0,10
8,245,114,9,21,0,10
8,272,127,10,13,0,10
8,184,102,7,25,1,10
8,210,116,8,40,1,10
8,236,131,9,40,1,10
8,272,127,10,25,1,10
8,184,102,7,12,2,10
8,210,116,8,21,2,10
8,236,131,9,21,2,10
8,263,145,10,13,2,10
9,245,114,9,11,1,10
