frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,11,360,12,16,0,10
0,9,300,10,50,1,10
0,10,330,11,57,1,10
0,11,360,12,41,1,10
0,11,360,12,16,2,10
0,0,270,9,10,65535,10
0,0,300,10,18,65535,10
0,10,330,11,19,65535,10
0,11,360,12,13,65535,10
1,9,300,10,18,0,10
1,31,329,11,32,0,10
1,34,359,12,38,0,10
1,49,387,13,28,0,10
1,53,417,14,12,0,10
1,9,300,10,35,1,10
1,21,330,11,62,1,10
1,34,359,12,73,1,10
1,37,389,13,54,1,10
1,39,418,14,25,1,10
1,21,330,11,38,2,10
1,34,359,12,46,2,10
1,37,389,13,35,2,10
2,11,360,12,18,0,10
2,12,390,13,30,0,10
2,13,420,14,28,0,10
2,14,450,15,16,0,10
2,11,360,12,49,1,10
2,12,390,13,81,1,10
2,13,420,14,76,1,10
2,14,450,15,43,1,10
2,11,360,12,52,2,10
2,12,390,13,84,2,10
2,13,420,14,79,2,10
2,14,450,15,45,2,10
2,0,360,12,17,3,10
2,0,390,13,27,3,10
2,0,420,14,25,3,10
2,0,450,15,14,3,10
3,65510,419,14,16,0,10
3,65508,449,15,18,0,10
3,65497,418,14,33,1,10
3,65494,448,15,37,1,10
3,65491,478,16,25,1,10
3,65497,418,14,24,2,10
3,65494,448,15,27,2,10
3,65491,478,16,18,2,10
4,None, None, None, None, None
5,65381,423,15,21,0,10
5,65371,451,16,20,0,10
5,65345,473,17,15,0,10
5,65395,428,15,19,65534,10
5,65371,451,16,18,65534,10
5,65392,395,14,28,65535,10
5,65381,423,15,40,65535,10
5,65356,445,16,39,65535,10
5,65345,473,17,29,65535,10
6,65341,338,13,13,0,10
6,65326,364,14,16,0,10
6,65311,390,15,13,0,10
6,65353,345,13,25,65534,10
6,65339,371,14,32,65534,10
6,65325,398,15,27,65534,10
6,65341,338,13,30,65535,10
6,65326,364,14,38,65535,10
6,65311,390,15,30,65535,10
7,65340,266,11,13,0,10
7,65322,290,12,17,0,10
7,65304,314,13,14,0,10
7,65330,258,11,20,65533,10
7,65322,290,12,28,65533,10
7,65304,314,13,22,65533,10
7,65273,328,14,9,65533,10
7,65340,266,11,49,65534,10
7,65322,290,12,69,65534,10
7,65304,314,13,55,65534,10
7,65286,338,14,23,65534,10
7,65330,258,11,43,65535,10
7,65311,281,12,60,65535,10
7,65292,305,13,48,65535,10
7,65273,328,14,21,65535,10
7,65129,104,14,16,65534,10
8,65350,196,9,13,65533,10
8,65330,218,10,18,65533,10
8,65299,230,11,15,65533,10
8,65255,225,12,9,65533,10
8,65350,196,9,20,65534,10
8,65330,218,10,27,65534,10
8,65309,240,11,21,65534,10
8,65266,238,12,11,65534,10
8,65342,188,9,8,65535,10
8,65320,209,10,11,65535,10
9,65398,159,7,15,0,10
9,65378,181,8,22,0,10
9,65367,211,9,19,0,10
9,65405,164,7,23,65534,10
9,65393,193,8,33,65534,10
9,65376,217,9,27,65534,10
9,65273,145,10,24,65534,10
9,65398,159,7,31,65535,10
9,65378,181,8,46,65535,10
9,65367,211,9,38,65535,10
9,65255,104,10,23,65535,10
9,65283,94,9,25,65534,10
9,65358,242,10,20,65535,10
10,65457,195,7,15,0,10
10,65446,223,8,18,0,10
10,65426,247,9,14,0,10
10,65438,219,8,43,1,10
10,65426,247,9,33,1,10
11,65521,240,8,29,1,10
11,65519,270,9,42,1,10
11,65508,299,10,36,1,10
11,65511,269,9,44,2,10
11,65438,219,8,26,1,10
11,65418,243,9,32,1,10
11,65395,265,10,26,1,10
12,8,240,8,24,0,10
12,8,270,9,56,0,10
12,9,300,10,73,0,10
12,10,330,11,55,0,10
12,0,360,12,23,0,10
12,0,270,9,109,1,10
12,0,300,10,141,1,10
12,0,330,11,106,1,10
12,0,360,12,44,1,10
12,0,270,9,60,2,10
12,0,300,10,78,2,10
12,0,330,11,59,2,10
12,0,360,12,24,2,10
12,0,15069,502,4,65534,10
12,65066,15032,501,5,65535,10
12,65065,15062,502,6,65535,10
12,65064,15092,503,5,65535,10
12,65422,310,11,39,0,10
12,65412,338,12,17,0,10
13,None, None, None, None, None
14,84,257,9,22,0,10
14,103,282,10,25,0,10
14,114,310,11,17,0,10
14,84,257,9,45,65535,10
14,94,285,10,51,65535,10
14,103,314,11,34,65535,10
15,85,192,7,38,65533,10
15,98,219,8,53,65533,10
15,118,243,9,45,65533,10
15,92,189,7,45,65534,10
15,105,216,8,62,65534,10
15,118,243,9,52,65534,10
15,79,195,7,13,65535,10
15,90,223,8,18,65535,10
16,None, None, None, None, None
17,65510,117,4,54,0,10
17,65409,81,5,69,0,10
17,65446,156,6,71,0,10
17,65431,182,7,48,0,10
17,65416,208,8,20,0,10
17,65443,254,9,8,0,10
17,64112,15122,506,4,0,10
17,65472,102,4,74,1,10
17,65456,127,5,140,1,10
17,65440,153,6,155,1,10
17,65424,178,7,107,1,10
17,65408,203,8,44,1,10
17,65392,229,9,12,1,10
17,3323,14821,506,4,1,10
17,3329,14851,507,6,1,10
17,3336,14880,508,6,1,10
17,65472,102,4,42,2,10
17,65452,124,5,82,2,10
17,65435,149,6,97,2,10
17,65411,169,7,72,2,10
17,65386,187,8,33,2,10
17,65376,217,9,9,2,10
17,65510,117,4,57,65534,10
17,65503,146,5,66,65534,10
17,65497,176,6,42,65534,10
17,8544,12558,506,5,65534,10
17,8561,12583,507,4,65534,10
17,65513,87,3,44,65535,10
17,65506,116,4,92,65535,10
17,65498,145,5,107,65535,10
17,65491,174,6,69,65535,10
17,26,208,7,20,65535,10
17,65446,223,8,15,65535,10
17,65435,250,9,11,65535,10
17,7580,13128,505,5,65535,10
17,7595,13154,506,8,65535,10
17,7610,13180,507,8,65535,10
17,15,119,4,45,0,10
17,65456,127,5,63,0,10
17,65378,87,6,68,0,10
17,65352,102,7,41,0,10
17,65311,84,8,15,0,10
17,65359,204,9,7,0,10
17,8069,12869,506,3,0,10
17,65266,0,9,10,1,10
17,63163,15003,506,3,1,10
17,63158,15032,507,5,1,10
17,63153,15062,508,4,1,10
17,253,94,9,8,2,10
17,11,89,3,38,65535,10
17,15,119,4,79,65535,10
17,19,149,5,92,65535,10
17,23,179,6,62,65535,10
17,65365,122,7,20,65535,10
17,65325,169,9,9,65535,10
17,13738,6408,505,3,65535,10
18,65423,99,5,18,2,10
18,65401,119,6,26,2,10
18,65372,131,7,25,2,10
18,65341,140,8,20,2,10
18,65423,99,5,13,3,10
18,65395,112,6,19,3,10
18,65365,122,7,20,3,10
18,65333,129,8,18,3,10
18,65300,131,9,13,3,10
19,65378,139,7,21,1,10
19,65356,159,8,26,1,10
19,65325,169,9,21,1,10
19,65283,161,10,13,1,10
19,65401,119,6,16,2,10
19,65372,131,7,35,2,10
19,65348,150,8,43,2,10
19,65325,169,9,35,2,10
19,65283,161,10,20,2,10
19,65247,160,11,11,2,10
19,65372,131,7,17,3,10
19,65348,150,8,22,3,10
19,65316,157,9,18,3,10
19,65283,161,10,10,3,10
20,65378,181,8,11,0,10
20,65359,204,9,17,0,10
20,65339,227,10,17,0,10
20,65309,240,11,11,0,10
20,65378,181,8,24,1,10
20,65359,204,9,39,1,10
20,65330,218,10,39,1,10
20,65309,240,11,26,1,10
20,65371,174,8,21,2,10
20,65350,196,9,34,2,10
20,65330,218,10,34,2,10
20,65309,240,11,22,2,10
21,65377,254,10,12,0,10
21,65361,280,11,11,0,10
21,65367,248,10,24,1,10
21,65361,280,11,21,1,10
22,65367,318,12,12,1,10
23,None, None, None, None, None
24,65392,297,11,8,65535,10
24,65378,324,12,7,65535,10
25,65392,297,11,7,65535,10
