frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65519,270,9,16,1,10
0,65517,300,10,12,1,10
0,65515,330,11,7,1,10
0,65519,270,9,25,65535,10
0,65517,300,10,19,65535,10
0,65505,329,11,13,65535,10
1,65476,233,8,48,0,10
1,65468,262,9,59,0,10
1,65461,291,10,46,0,10
1,65443,317,11,23,0,10
1,65468,262,9,111,1,10
1,65461,291,10,87,1,10
1,65443,317,11,45,1,10
1,65429,145,6,21,65535,10
1,65508,178,6,19,65535,10
2,65503,146,5,63,0,10
2,65497,176,6,90,0,10
2,65490,205,7,76,0,10
2,65483,234,8,37,0,10
2,3316,14792,505,4,0,10
2,3323,14821,506,5,0,10
2,3329,14851,507,3,0,10
2,65503,146,5,112,1,10
2,65497,176,6,161,1,10
2,65490,205,7,136,1,10
2,65483,234,8,65,1,10
2,65497,176,6,93,2,10
2,65490,205,7,78,2,10
2,63641,15040,505,4,65534,10
2,63163,15003,506,5,65534,10
2,65497,176,6,9,65535,10
2,65490,205,7,7,65535,10
2,2837,14861,504,3,65535,10
2,2842,14890,505,8,65535,10
2,2848,14920,506,10,65535,10
2,2854,14949,507,7,65535,10
2,23,148,5,55,0,10
2,28,178,6,77,0,10
2,33,208,7,62,0,10
2,38,237,8,27,0,10
2,63167,14973,505,3,0,10
2,63163,15003,506,4,0,10
2,63158,15032,507,3,0,10
2,23,148,5,107,1,10
2,28,178,6,148,1,10
2,33,208,7,119,1,10
2,38,237,8,53,1,10
2,23,179,6,92,2,10
2,26,208,7,74,2,10
2,3316,14792,505,4,65534,10
2,3323,14821,506,5,65534,10
2,28,178,6,8,65535,10
2,33,208,7,6,65535,10
2,63172,14943,504,3,65535,10
2,63167,14973,505,6,65535,10
2,63163,15003,506,8,65535,10
2,63158,15032,507,6,65535,10
3,11,180,6,17,0,10
3,13,210,7,31,0,10
3,15,240,8,31,0,10
3,17,270,9,18,0,10
3,11,180,6,40,1,10
3,13,210,7,70,1,10
3,15,240,8,70,1,10
3,17,270,9,41,1,10
3,11,180,6,35,2,10
3,13,210,7,61,2,10
3,8,240,8,61,2,10
3,8,270,9,36,2,10
3,13,210,7,6,65535,10
3,15,240,8,6,65535,10
3,64590,15100,504,3,65535,10
3,64115,15092,505,3,65535,10
3,65480,171,6,15,0,10
3,65470,200,7,27,0,10
3,65461,228,8,28,0,10
3,65452,257,9,17,0,10
3,65480,171,6,32,1,10
3,65470,200,7,57,1,10
3,65461,228,8,60,1,10
3,65452,257,9,37,1,10
3,65480,171,6,26,2,10
3,65470,200,7,47,2,10
3,65461,228,8,49,2,10
3,65452,257,9,31,2,10
3,65470,200,7,5,65535,10
3,65461,228,8,5,65535,10
3,4255,14519,504,3,65535,10
3,4264,14547,505,3,65535,10
4,65311,872,30,32,0,10
4,65303,901,31,49,0,10
4,65296,930,32,47,0,10
4,65288,959,33,28,0,10
4,15,240,8,23,1,10
4,65460,259,9,32,1,10
4,65311,872,30,65,1,10
4,65303,901,31,98,1,10
4,65296,930,32,96,1,10
4,65288,959,33,59,1,10
4,65303,901,31,67,2,10
4,65296,930,32,67,2,10
4,64917,773,33,21,0,10
4,65461,228,8,21,1,10
4,17,270,9,29,1,10
5,65502,268,9,66,0,10
5,65498,298,10,139,0,10
5,65495,328,11,162,0,10
5,65491,357,12,110,0,10
5,65487,387,13,40,0,10
5,1876,14891,500,5,0,10
5,1880,14921,501,8,0,10
5,1884,14951,502,7,0,10
5,65494,267,9,132,1,10
5,65489,296,10,278,1,10
5,65484,326,11,326,1,10
5,65480,356,12,223,1,10
5,65475,385,13,83,1,10
5,65494,267,9,95,2,10
5,65489,296,10,203,2,10
5,65484,326,11,240,2,10
5,65480,356,12,166,2,10
5,65475,385,13,63,2,10
5,65480,356,12,29,3,10
5,2345,14825,500,8,65534,10
5,2350,14854,501,12,65534,10
5,2355,14884,502,11,65534,10
5,2359,14914,503,5,65534,10
5,65494,267,9,10,65535,10
5,65489,296,10,23,65535,10
5,65484,326,11,27,65535,10
5,65480,356,12,18,65535,10
5,1876,14891,500,11,65535,10
5,1880,14921,501,16,65535,10
5,1884,14951,502,14,65535,10
5,1887,14981,503,7,65535,10
5,65356,312,12,79,0,10
5,65341,338,13,32,0,10
5,65341,338,13,60,1,10
6,65489,296,10,24,0,10
6,65474,324,11,44,0,10
6,65457,351,12,47,0,10
6,65426,374,13,32,0,10
6,65489,296,10,46,1,10
6,65474,324,11,82,1,10
6,65446,349,12,86,1,10
6,65426,374,13,59,1,10
6,0,420,14,27,1,10
6,65435,346,12,47,2,10
6,0,390,13,37,2,10
6,65386,260,10,17,0,10
6,24,389,13,23,0,10
6,12,390,13,48,1,10
6,65392,395,14,26,1,10
6,11,360,12,45,2,10
6,65402,366,13,35,2,10
7,65491,357,12,40,0,10
7,65499,389,13,49,0,10
7,65497,418,14,38,0,10
7,65508,449,15,18,0,10
7,65491,357,12,76,1,10
7,65487,387,13,94,1,10
7,65497,418,14,74,1,10
7,65508,449,15,36,1,10
7,65480,356,12,40,2,10
7,65487,387,13,53,2,10
7,65497,418,14,43,2,10
8,65525,360,12,14,0,10
8,0,390,13,37,0,10
8,0,420,14,56,0,10
8,14,450,15,52,0,10
8,0,480,16,30,0,10
8,65525,360,12,29,1,10
8,0,390,13,71,1,10
8,0,420,14,107,1,10
8,0,450,15,99,1,10
8,0,480,16,56,1,10
8,0,390,13,39,2,10
8,0,420,14,61,2,10
8,0,450,15,58,2,10
8,0,480,16,33,2,10
9,0,390,13,14,0,10
9,13,420,14,34,0,10
9,14,450,15,52,0,10
9,15,480,16,49,0,10
9,16,510,17,27,0,10
9,65524,390,13,28,1,10
9,0,420,14,66,1,10
9,14,450,15,99,1,10
9,15,480,16,92,1,10
9,16,510,17,51,1,10
9,65524,390,13,13,2,10
9,0,420,14,33,2,10
9,0,450,15,50,2,10
9,0,480,16,47,2,10
9,0,510,17,26,2,10
10,65506,479,16,18,1,10
11,45,478,16,17,0,10
11,32,509,17,21,0,10
11,34,539,18,16,0,10
11,28,449,15,17,1,10
11,30,479,16,35,1,10
11,32,509,17,43,1,10
11,34,539,18,32,1,10
11,30,479,16,15,2,10
11,32,509,17,19,2,10
11,34,539,18,14,2,10
12,48,508,17,16,1,10
13,32,509,17,15,0,10
13,34,539,18,23,0,10
13,36,569,19,20,0,10
13,32,509,17,31,1,10
13,34,539,18,47,1,10
13,18,570,19,42,1,10
13,16,510,17,13,2,10
13,17,540,18,20,2,10
13,18,570,19,18,2,10
14,34,539,18,21,0,10
14,36,569,19,25,0,10
14,38,599,20,18,0,10
14,16,510,17,21,1,10
14,17,540,18,44,1,10
14,18,570,19,53,1,10
14,19,600,20,38,1,10
14,17,540,18,19,2,10
14,18,570,19,23,2,10
14,19,600,20,16,2,10
15,None, None, None, None, None
16,19,600,20,8,0,10
16,18,570,19,18,1,10
16,19,600,20,23,1,10
17,18,570,19,13,1,10
17,19,600,20,19,1,10
17,20,630,21,17,1,10
18,19,600,20,13,1,10
18,20,630,21,13,1,10
19,19,600,20,8,1,10
19,20,630,21,8,1,10
