frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65367,417,15,10,1,10
0,65356,445,16,13,1,10
0,65329,466,17,10,1,10
0,65367,417,15,22,65535,10
0,65356,445,16,29,65535,10
0,65329,466,17,22,65535,10
0,65316,494,18,11,65535,10
1,65378,390,14,32,0,10
1,65367,417,15,55,0,10
1,65356,445,16,56,0,10
1,65345,473,17,36,0,10
1,65333,501,18,14,0,10
1,65367,417,15,10,1,10
1,65356,445,16,11,1,10
1,5583,13803,496,4,1,10
1,5595,13830,497,4,1,10
1,65392,395,14,27,65534,10
1,65381,423,15,46,65534,10
1,65371,451,16,47,65534,10
1,65361,479,17,30,65534,10
1,65390,362,13,20,65535,10
1,65378,390,14,64,65535,10
1,65367,417,15,110,65535,10
1,65356,445,16,112,65535,10
1,65329,466,17,71,65535,10
1,65316,494,18,29,65535,10
2,5606,13858,498,4,2,10
2,65401,334,12,14,65533,10
2,65390,362,13,40,65533,10
2,65378,390,14,60,65533,10
2,65367,417,15,53,65533,10
2,65356,445,16,26,65533,10
2,65401,334,12,24,65534,10
2,65390,362,13,73,65534,10
2,65378,390,14,111,65534,10
2,65367,417,15,98,65534,10
2,65356,445,16,49,65534,10
2,65377,357,13,40,65535,10
2,65365,384,14,65,65535,10
2,65353,411,15,59,65535,10
2,65341,439,16,30,65535,10
3,6097,13715,500,4,3,10
3,5640,13942,501,5,3,10
3,5628,13914,500,3,4,10
3,5640,13942,501,4,4,10
3,65423,278,10,62,65532,10
3,65412,306,11,95,65532,10
3,65401,334,12,86,65532,10
3,65377,357,13,48,65532,10
3,65365,384,14,16,65532,10
3,65426,247,9,25,65533,10
3,65414,274,10,72,65533,10
3,65402,302,11,108,65533,10
3,65390,329,12,96,65533,10
3,65365,351,13,51,65533,10
3,65414,274,10,24,65534,10
3,65402,302,11,35,65534,10
3,65390,329,12,30,65534,10
3,65377,357,13,14,65534,10
4,5211,14235,505,3,4,10
4,65474,169,6,36,65531,10
4,65464,197,7,53,65531,10
4,65446,223,8,47,65531,10
4,65435,250,9,24,65531,10
4,65489,143,5,18,65532,10
4,65474,169,6,49,65532,10
4,65464,197,7,72,65532,10
4,65453,226,8,62,65532,10
4,65435,250,9,31,65532,10
4,65301,187,10,8,65532,10
4,65468,167,6,21,65533,10
4,65457,195,7,31,65533,10
4,65446,223,8,26,65533,10
4,65426,247,9,13,65533,10
4,65333,179,9,17,65531,10
4,65363,167,8,44,65532,10
4,65333,179,9,24,65532,10
4,65414,274,10,7,65532,10
5,65517,57,2,16,0,10
5,65508,86,3,46,0,10
5,65498,114,4,70,0,10
5,65484,141,5,63,0,10
5,65474,169,6,33,0,10
5,65505,85,3,9,1,10
5,65495,113,4,13,1,10
5,65484,141,5,12,1,10
5,4756,14457,507,8,1,10
5,4765,14486,508,9,1,10
5,4775,14514,509,6,1,10
5,4756,14457,507,7,2,10
5,4765,14486,508,8,2,10
5,4775,14514,509,5,2,10
5,65508,86,3,91,65534,10
5,65498,114,4,139,65534,10
5,65489,143,5,127,65534,10
5,65480,171,6,69,65534,10
5,65515,56,2,36,65535,10
5,65505,85,3,101,65535,10
5,65495,113,4,152,65535,10
5,65484,141,5,138,65535,10
5,65474,169,6,73,65535,10
6,94,75,4,11,0,10
6,122,87,5,15,0,10
6,146,105,6,11,0,10
6,70,56,3,16,1,10
6,94,75,4,38,1,10
6,117,94,5,49,1,10
6,141,112,6,38,1,10
6,164,131,7,18,1,10
6,70,56,3,20,2,10
6,94,75,4,47,2,10
6,117,94,5,60,2,10
6,141,112,6,47,2,10
6,164,131,7,21,2,10
6,70,56,3,8,3,10
6,90,79,4,17,3,10
6,113,99,5,22,3,10
6,141,112,6,17,3,10
6,164,131,7,8,3,10
6,653,576,29,16,4,10
6,675,596,30,23,4,10
6,698,616,31,21,4,10
6,53,108,4,11,0,10
6,66,135,5,13,0,10
6,79,162,6,10,0,10
6,37,82,3,15,1,10
6,49,110,4,33,1,10
6,61,137,5,40,1,10
6,73,165,6,29,1,10
6,37,82,3,17,2,10
6,49,110,4,36,2,10
6,61,137,5,45,2,10
6,37,82,3,5,3,10
6,49,110,4,12,3,10
6,326,807,29,14,4,10
6,338,835,30,20,4,10
6,349,863,31,18,4,10
7,171,122,7,6,0,10
7,122,87,5,11,2,10
7,146,105,6,27,2,10
7,164,131,7,36,2,10
7,188,150,8,30,2,10
7,117,94,5,11,3,10
7,141,112,6,28,3,10
7,164,131,7,38,3,10
7,188,150,8,31,3,10
7,211,169,9,15,3,10
7,164,131,7,10,4,10
7,180,159,8,7,4,10
7,743,655,33,14,4,10
7,765,675,34,20,4,10
7,788,695,35,17,4,10
8,150,187,8,34,2,10
8,177,204,9,55,2,10
8,197,227,10,55,2,10
8,217,249,11,35,2,10
8,150,187,8,53,3,10
8,169,211,9,90,3,10
8,188,234,10,92,3,10
8,206,258,11,58,3,10
8,225,281,12,21,3,10
8,150,187,8,26,4,10
8,169,211,9,44,4,10
8,188,234,10,46,4,10
8,206,258,11,28,4,10
8,55647,11370,502,4,65533,10
8,55627,11393,503,4,65533,10
9,None, None, None, None, None
10,None, None, None, None, None
11,None, None, None, None, None
12,68,354,12,12,65533,10
13,0,15099,503,5,3,10
13,0,15129,504,6,3,10
13,0,15159,505,4,3,10
13,14,450,15,8,65529,10
13,65476,959,32,24,65529,10
13,65474,989,33,26,65529,10
13,65472,1019,34,19,65529,10
13,65506,960,32,20,65530,10
13,65505,990,33,19,65530,10
13,7,210,7,43,65532,10
13,8,240,8,72,65532,10
13,8,270,9,71,65532,10
13,9,300,10,42,65532,10
13,0,180,6,22,65533,10
13,0,210,7,72,65533,10
13,0,240,8,117,65533,10
13,0,270,9,110,65533,10
13,0,300,10,60,65533,10
13,0,210,7,38,65534,10
13,0,240,8,61,65534,10
13,0,270,9,55,65534,10
13,65464,197,7,31,65532,10
13,65453,226,8,54,65532,10
13,65443,254,9,53,65532,10
13,65433,282,10,31,65532,10
14,65461,130,5,21,0,10
14,65446,156,6,26,0,10
14,65431,182,7,19,0,10
14,65466,133,5,36,65534,10
14,65452,159,6,45,65534,10
14,65438,186,7,34,65534,10
14,65461,130,5,46,65535,10
14,65446,156,6,58,65535,10
14,65431,182,7,43,65535,10
14,65384,97,6,32,65534,10
14,65359,113,7,25,65534,10
15,65419,94,5,10,0,10
15,65395,112,6,12,0,10
15,65372,131,7,9,0,10
15,65414,87,5,21,1,10
15,65390,105,6,25,1,10
15,65365,122,7,19,1,10
15,65414,87,5,9,2,10
15,65390,105,6,11,2,10
