frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65313,459,17,11,0,10
0,65300,486,18,11,0,10
0,65329,466,17,9,65534,10
0,65316,494,18,10,65534,10
0,65326,432,16,12,65535,10
0,65313,459,17,22,65535,10
0,65300,486,18,23,65535,10
0,65286,513,19,16,65535,10
1,65405,399,14,18,0,10
1,65395,428,15,17,0,10
1,65326,432,16,14,0,10
1,65329,466,17,24,0,10
1,65333,501,18,20,0,10
1,65367,417,15,8,65533,10
1,65356,445,16,19,65533,10
1,65345,473,17,24,65533,10
1,65333,501,18,17,65533,10
1,65418,403,14,21,65534,10
1,65381,423,15,23,65534,10
1,65356,445,16,52,65534,10
1,65345,473,17,72,65534,10
1,65333,501,18,55,65534,10
1,65405,399,14,34,65535,10
1,65381,423,15,31,65535,10
1,65326,432,16,44,65535,10
1,65329,466,17,69,65535,10
1,65316,494,18,55,65535,10
2,65475,385,13,18,0,10
2,65444,410,14,53,0,10
2,65438,439,15,87,0,10
2,65431,469,16,85,0,10
2,65424,498,17,51,0,10
2,3257,14528,496,5,1,10
2,3264,14558,497,6,1,10
2,65475,385,13,18,65534,10
2,65457,413,14,53,65534,10
2,65452,442,15,87,65534,10
2,65446,472,16,85,65534,10
2,65440,501,17,51,65534,10
2,65463,383,13,35,65535,10
2,65444,410,14,100,65535,10
2,65438,439,15,162,65535,10
2,65431,469,16,158,65535,10
2,65424,498,17,95,65535,10
2,65401,523,18,32,65535,10
3,113,436,15,10,1,10
3,65524,390,13,14,65535,10
3,0,420,14,11,65535,10
4,98,378,13,15,1,10
4,105,407,14,20,1,10
4,113,436,15,20,1,10
4,120,465,16,18,1,10
4,98,439,15,8,2,10
5,158,390,14,12,1,10
5,183,411,15,10,1,10
6,210,364,14,9,0,10
6,225,390,15,10,0,10
6,210,364,14,20,1,10
6,225,390,15,22,1,10
6,225,424,16,10,1,10
7,None, None, None, None, None
8,210,364,14,13,0,10
8,225,390,15,15,0,10
8,255,407,16,10,0,10
8,223,356,14,12,65534,10
8,239,381,15,14,65534,10
8,255,407,16,10,65534,10
8,195,338,13,12,65535,10
8,210,364,14,24,65535,10
8,225,390,15,28,65535,10
8,240,416,16,20,65535,10
9,169,318,12,18,65533,10
9,183,345,13,26,65533,10
9,197,371,14,22,65533,10
9,225,390,15,12,65533,10
9,180,312,12,31,65534,10
9,195,338,13,43,65534,10
9,210,364,14,37,65534,10
9,225,390,15,19,65534,10
9,169,318,12,16,65535,10
9,183,345,13,22,65535,10
9,197,371,14,18,65535,10
10,124,306,11,8,0,10
10,113,278,10,42,65533,10
10,124,306,11,54,65533,10
10,146,329,12,45,65533,10
10,159,357,13,26,65533,10
10,113,278,10,58,65534,10
10,124,306,11,72,65534,10
10,146,329,12,56,65534,10
10,159,357,13,28,65534,10
10,84,257,9,14,65535,10
10,103,282,10,26,65535,10
10,114,310,11,29,65535,10
10,124,338,12,20,65535,10
11,23,239,8,19,0,10
11,25,269,9,26,0,10
11,28,299,10,21,0,10
11,23,239,8,48,65534,10
11,25,269,9,52,65534,10
11,15,240,8,52,65535,10
11,17,270,9,64,65535,10
11,19,300,10,46,65535,10
11,65476,233,8,36,65534,10
11,65468,262,9,42,65534,10
12,65508,178,6,49,0,10
12,65503,208,7,116,0,10
12,65498,237,8,147,0,10
12,65494,267,9,108,0,10
12,65489,296,10,43,0,10
12,2359,14914,503,5,0,10
12,2364,14943,504,8,0,10
12,2369,14973,505,6,0,10
12,65497,206,7,22,1,10
12,65491,236,8,27,1,10
